,,,家賃相場(ホームズ),,,,家賃相場(スーモ、駅から0-5分),,,,,アクセス(時間),,,アクセス(乗り換え),,,,その他路線,,,,住みたい部屋の家賃,,
,駅名,県,1DK,1LDK,2K,2DK,1DK,1LDK,2K,2DK,海抜,新宿駅,東京駅,池袋,新宿駅,東京駅,池袋,主要な路線,1st,2nd,"通勤時の乗車率
(通勤に利用する各路線のmax)",電車の間隔,最低ライン,理想,
,綾瀬駅,東京,7.14,8.01,12.15,10.58,,,,,,32,25,23,1,0,1,千代田線,--,--,126%,,,,
,青梅駅,東京,4.39,--,11.27,--,,,,,,68,83,81,1,1,2,青梅線,中央線快速,,,×(青梅線 10分),,,
,所沢駅,,7.85,9.81,--,8.82,--,10.3,9,--,,37,52,24,1,1,0,西部池袋線,,,,,11,,
,我孫子駅,千葉,--,7.58,--,--,--,9.5,9,--,,59,44,50,1,1,1,上野東京ライン,山手線,,,,8,12,物件少ない。いいのなさそう。
,柏駅,千葉,6.99,12.02,5.86,10.46,10.5,13.3,12.4,13.5,,55,46,46,1,1,1,常磐線,山手線,,,,11,16,
,八王子駅,東京,8.12,12.08,--,8.25,9.5,12.6,10.4,--,,38,52,48,0,0,1,中央線快速,埼京線,,,,8,12,
,府中駅,,--,13.08,9.38,--,--,11.7,9.4,11.9,,26,44,40,0,1,1,京王線　特急,中央線快速,山手線,,,9.58,12,
,吉祥寺駅,,11.23,19.12,--,16.69,12,14.5,--,--,,13,27,29,0,0,1,中央線快速,,,,,9.5,--,
,調布駅,,9.28,12.11,8.93,--,9.8,13.1,10.1,--,,19,37,33,0,1,1,京王線特急,中央線快速,山手線,,,,--,
,長沼駅,,--,7.45,--,--,8.2,8.5,9.3,--,,,,,,,,,,,,,7.5,,物件少ない。
,大宮駅,,--,13.54,11.5,--,8.7,12.4,11.1,13.6,,,,,,,,,,,,,,,
,取手駅,,--,7.46,--,--,7.5,7.8,8.6,8.9,5,64,,,,,,,,,,,8,無し,物件少ない。
,千葉ニュータウン中央駅,,--,--,--,--,9.7,--,9.9,10.9,,69,,,,,,,,,,,無し,無し,物件少ない。
,川越駅,,6.7,11.65,--,--,7.6,9.3,12.5,9.6,,,,,,,,,,,,,,,
,川越市駅,,--,9.94,--,--,--,--,12.2,--,,,,,,,,,,,,,9.5,9.5,
,高円寺駅,,10.19,16.4,10.59,11.67,--,115.6,13.2,16.1,,,,,,,,,,,,,,,
,中野駅,,12.36,17.16,12.06,14.16,12.8,17.1,15,--,,,,,,,,,,,,,,,
,神田駅,,,,,,,,,,,,,,,,,,,,,,,,
,新高円寺駅,,11.3,14.06,8.98,12.84,125.6,15.8,12.7,15.9,,,,,,,,,,,,,,,
,阿佐ケ谷駅,,10.25,15.91,9.41,12.96,12,15.7,12.4,15.4,,,,,,,,,,,,,,12,
,立川駅,,11.03,12.93,11.1,10.75,12.1,13.6,14.2,--,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,国立駅,,11.15,12.9,--,--,8.9,14.3,--,--,,29,,,,,,,,,,,,,
,長野駅,,--,10.5,--,12.2,,,,,,,,,,,,,,,,,,,
,新小岩井,,7.05,13.14,--,9.39,9.3,12.6,--,12.6,-1,,,,,,,,,,,,,,
,西八王子,--,9.26,--,--,--,8.5,10.7,8.6,11.5,,41,65,63,,,,,,,,,,,
,高尾,--,--,--,--,9,--,9.1,--,,,55,69,57,,,,,,,,,,,
,町田,--,9.84,11.7,11.9,7.25,9.2,11.6,9.3,12.4,,35,55,55,,,,,,,,,,,
,和光市駅,--,12.21,--,8.25,--,9.2,11.9,--,11.9,,,,,,,,,,,,,9.5,10,
,多摩駅,,8.65,,--,--,8.4,9.1,9.4,--,,,,,,,,,,,,,9,10,
,京王よみうりランド駅,,7.14,9,--,7.08,8.1,11.1,10.2,--,,26,46,,,,,,,,,,8.5,9.5,
ガッキー,東小金井駅,,,11.74,,,9.2,12.7,11.1,12.7,,,,,,,,,,,,,,,
ガッキー,武蔵小金井,,8.31,12.51,,,10.8,12.2,10.9,12.2,5,,,,,,,,,,,,,,
ガッキー,稲田堤駅,,8,10.4,8.6,8.6,7.13,10.42,,7.49,28,35,57,46,,,,,,,,,,,家賃とアクセスのコスパが一番高い。
,多摩センター,,,,,7.98,8.3,,8.4,11.1,,43,62,58,,,,,,,,,,,
,永山駅,,6.2(1K),--,--,--,9.2,--,9.6,11.6,,,60,,,,,,,,,,,,
,読売ランド前駅,,--,10.28,--,--,--,10.5,9.2,13.7,,41,,,,,,,,,,,,,
,百合ヶ丘駅,,5.57(1K),--,--,--,8.5,11.2,8.8,12.9,,35,,,,,,,,,,,,,
,府中,,--,13.08,9.38,--,9.9,14.3,11.8,--,,28,,,,,,,,,,,,,
,稲城駅,,--,10.61,--,--,--,9.6,10.7,--,,35,,,,,,,,,,,,,
,生田,,8.4,,9.7,,,11.97,7.66,--,,31,,,,,,,,,,,,,
,すずかけ台駅,,,,,,,,,,,52,,,,,,,,,,,,,
,矢野口駅,,,,,,,,,,,36,,,,,,,,,,,,,
